"","Gam.ID","Chemical","Temperature","Distance","Body.Length","Variance","Log_Variance"
"1",1,"No Chemical",10,55.7,0.6,6.14,1.81482474215905
"2",2,"No Chemical",10,50,0.8,4.92,1.59330853050422
"3",3,"No Chemical",10,45.3,0.6,3.2,1.16315080980568
"4",4,"No Chemical",10,58.7,0.5,5.01,1.61143591509677
"5",5,"No Chemical",10,69.3,1,1,0
"6",6,"No Chemical",10,56.1,0.5,4.45,1.49290409617815
"7",7,"Imidacloprid",10,54.4,0.8,3.99,1.38379123090177
"8",8,"Imidacloprid",10,50.3,0.4,3.74,1.31908561142644
"9",9,"Imidacloprid",10,51.9,0.7,2.61,0.959350221334602
"10",10,"Imidacloprid",10,59.7,0.5,7.57,2.02419306744936
"11",11,"Imidacloprid",10,39,0.6,6.59,1.88555334851442
"12",12,"Imidacloprid",10,52.9,0.7,3.7,1.30833281965018
"13",13,"No Chemical",15,51.2,0.9,2.13,0.756121979721334
"14",14,"No Chemical",15,57.9,0.6,5.48,1.70110510095992
"15",15,"No Chemical",15,50.7,0.6,5.13,1.63510565918268
"16",16,"No Chemical",15,45.1,0.5,3.66,1.29746314741327
"17",17,"No Chemical",15,39.6,0.7,2.31,0.837247524533702
"18",18,"No Chemical",15,52,0.6,4.88,1.58514521986506
"19",19,"Imidacloprid",15,53.1,0.6,3.46,1.24126858906963
"20",20,"Imidacloprid",15,25.8,0.5,7.49,2.01356879752913
"21",21,"Imidacloprid",15,55.8,1,6.22,1.82776990675109
"22",22,"Imidacloprid",15,59.7,0.7,5.42,1.69009581545155
"23",23,"Imidacloprid",15,56.9,0.6,5.19,1.6467336971778
"24",24,"Imidacloprid",15,49.6,0.8,4.16,1.42551507427317
"25",25,"No Chemical",5,58.8,0.8,9.38,2.23857976301813
"26",26,"No Chemical",5,60.7,0.7,7.21,1.97546895129686
"27",27,"No Chemical",5,40.2,0.7,7.23,1.97823903617067
"28",28,"No Chemical",5,51.9,0.8,6.35,1.8484548129046
"29",29,"No Chemical",5,35.9,0.6,6.15,1.81645208181843
"30",30,"No Chemical",5,7.3,0.7,0.29,-1.23787435600162
"31",31,"Imidacloprid",5,65.3,0.5,5.56,1.71559810826249
"32",32,"Imidacloprid",5,45.3,0.9,5.68,1.73695123273306
"33",33,"Imidacloprid",5,58.7,0.6,6.39,1.85473426838944
"34",34,"Imidacloprid",5,66.5,0.6,4.26,1.44926916028128
"35",35,"Imidacloprid",5,54.7,0.5,4.39,1.47932922708708
"36",36,"Imidacloprid",5,54.3,0.8,1.08,0.0769610411361284
